English,Hindi
control,नियंत्रण
here's,यहाँ है
realize,समझना
D .,डी ।
power,शक्ति
president,अध्यक्ष
unless,जब तक
sex,लिंग
girls,लड़कियाँ
send,भेजना
needed,आवश्यकता है
O . or o,ओ। या ओ
died,मृत
scared,डरा हुआ
picture,चित्र
talked,बातचीत की
Jake,जेक
Al,एएल
ass,गधा
hundred,सौ
changed,बदला हुआ
completely,पूरी तरह
explain,व्याख्या करना
playing,खेलना
certainly,निश्चित रूप से
boys,लड़के
Michael,माइकल
loves,प्यार
fucking,कमबख्त
hair,बाल
choice,पसंद
anywhere,कहीं भी
secret,गुप्त
future,भविष्य
weird,अजीब
luck,भाग्य
she'll,शंख
Max or max .,अधिकतम या अधिकतम।
Luis,लुइस
turned,चालू
known,ज्ञात
touch,छूना
kiss,चुंबन
Crane or crane,क्रेन या क्रेन
questions,प्रशन
obviously,ज़ाहिर तौर से
wonder,आश्चर्य
somewhere,कहीं
throw,फेंक
straight,सीधा
Grace or grace,अनुग्रह या अनुग्रह
cold,ठंडा
white or White,सफेद या सफेद
fast,तेज़
Natalie,नेटली
R .,आर ।
food,खाना
drive,गाड़ी चलाना
feelings,भावना
they'll,वे हूँ
worked,काम
marry,शादी कर
light,रोशनी
test,परीक्षा
drop,बूँद
cannot,नही सकता
Frank,स्पष्टवादी
sent,भेजा
city,शहर
dream,सपना
protect,रक्षा करना
twenty,बीस
class,कक्षा
Lucy,लुसी
surprise,आश्चर्य
its,इसका
poor,गरीब
looked,देखा
mad,पागल
except,के अलावा
gun,बंदूक
dance,नृत्य
takes,लेता है
appreciate,प्रशंसा करना
especially,विशेष रूप से
besides,अलावा
weeks,हफ्तों
pull,खींचो
himself,वह स्वयं
act,कार्य
worth,लायक
Sheridan,शेरिडन
amazing,अद्भुत
top,शीर्ष
given,दिया गया
expect,अपेक्षा करना
Ben,बेन
rather,की अपेक्षा
Julian,जूलियन
involved,शामिल
swear,कसम खाना
piece,टुकड़ा
law,कानून
decided,फैसला किया
black or Black,काला या काला
Joey,एक छोटा सा सिक्का
happening,हो रहा
movie,चलचित्र
we'd,बुध
catch,पकड़ना
Antonio,एंटोनियो
country,देश
less,कम
perhaps,शायद
step,कदम
fall,गिरना
watching,देख रहे
kept,रखा
darling,प्रिय
dog,कुत्ता
Ms .,एमएस ।
win,जीतना
air,वायु
honor,सम्मान
personal,निजी
moving,चलती
admit,स्वीकार करते हैं
problems,समस्या
murder,हत्या
strong,मज़बूत
he'd,वह था
evil,बुराई
definitely,निश्चित रूप से
feels,महसूस करता
information,जानकारी
honest,ईमानदार
eye,आँख
broke,टूट गया
missed,चुक होना
longer,अब
dollars,डॉलर
tired,थका हुआ
Jason,जेसन
George,जॉर्ज
evening,शाम
starting,शुरुआत
Ross,रॉस
red,लाल
entire,पूरा
trip,यात्रा
Brooke,ब्रुक
E .,इ ।
club,क्लब
Niles,नाइल्स
suppose,कल्पना करना
calm,शांत
imagine,कल्पना करना
Todd,टॉड
fair,गोरा
caught,पकड़ा गया
B .,बी ।
blame,दोष
street,गली
sitting,बैठक
favor,कृपादृष्टि
apartment,अपार्टमेंट
court,अदालत
Tony or tony,टोनी या टोनी
learn,सीखना
Alison,एलिसन
Rick,पोरौटी
works,काम करता है
Rose or rose,गुलाब या गुलाब
Frasier,फ्रेजियर
relax,आराम करना
million,दस लाख
charity,दान
accident,दुर्घटना
wake,जागो
prove,सिद्ध करना
Danny,डैनी
smart,बुद्धिमान
message,संदेश
missing,गुम
forgot,भूल गया
small,छोटा
table,मेज़
nbsp,एनबीएसपी
become,बनना
Craig,क्रेग
mouth,मुँह
pregnant,गर्भवती
middle,मध्य
Billy or billy,बिली या बिली
ring,अँगूठी
careful,सावधान
shall,करेगा
team,टीम
ride,सवारी
figured,लगा
wear,घिसाव
Ray or ray,रे या रे
angry,गुस्सा
buddy,दोस्त
write,लिखना
stopped,रोका हुआ
early,जल्दी
Angel or angel,परी या परी
Nick or nick,निक या निक
ran,दौड़ा
war,युद्ध
standing,खड़ा है
forgive,क्षमा करना
jail,जेल
wearing,पहना हुआ
Miguel,मिगुएल
ladies,महिलाओं
kinda,एक तरह का
lunch,दिन का खाना
Cristian,क्रिस्टियन
eight,आठ
Greenlee,ग्रीनली
gotten,कमाई
hoping,आशा
thousand,हज़ार
ridge,चोटी
music,संगीत
Luke,ल्यूक
paper,कागज़
tough,कठिन
tape,फीता
Emily,एमिली
state,राज्य
count,गिनती करना
college,कॉलेज
proud,गर्व
agree,सहमत
birthday,जन्मदिन
bill,बिल
seven,सात
they've,वे
Timmy,टिम्मी
history,इतिहास
share,शेयर करना
offer,प्रस्ताव
hurry,जल्दी
ow,ओउ
feet,पैर
wondering,ताज्जुब
simple,सरल
decision,फ़ैसला
building,इमारत
ones,लोगों
finish,खत्म करना
voice,आवाज़
herself,खुद
Chris,क्रिस
would've,चाहेंगे गए
list,सूची
Kay,काय
mess,गड़बड़
deserve,योग्य होना
evidence,प्रमाण
cute,प्यारा
Jerry,जैरी
dress,पोशाक
Richard,रिचर्ड
interesting,दिलचस्प
Jesus,यीशु
James,जेम्स
hotel,होटल
enjoy,आनंद लेना
Ryan,रयान
Lindsay,लिंडसे
quiet,शांत
concerned,संबंधित
road,सड़क
Eve or eve,ईव या ईव
short,छोटा
M .,एम ।
beat,मारो
sweetie,प्रेमी
mention,उल्लेख
clothes,कपड़े
finished,खत्म
fell,गिरा
neither,कोई भी नहीं
mmm,मम्म
Victor or victor,विक्टर या विक्टर
respect,आदर
spent,खर्च किया
prison,कारागार
attention,ध्यान
holding,पकड़े
calls,कॉल
near,पास में
surprised,हैरान
Beth,बेथ
pass,उत्तीर्ण
keeping,रखते हुए
gift,उपहार
hadn't,नहीं था
putting,डाल
dark,अँधेरा
self,खुद
owe,ऋृणी होना
using,का उपयोग करते हुए
Nora,नोरा
ice,बर्फ़
helping,मदद कर रहा है
bitch,कुतिया
normal,सामान्य
aunt,चाची
lawyer,वकील
apart,अलग
certain,निश्चित
plans,की योजना
Jax,जकड़ा
girlfriend,दोस्त
everything 's,सब कुछ
earth,धरती
private,निजी
box,डिब्बा
Dawson,डावसन
cover,ढकना
judge,न्यायाधीश
upstairs,ऊपर
Alexis,एलेक्सिस
sake,कारण
mommy,माँ
possibly,संभवत:
worst,बहुत बुरा
